1A,Sov Mil Order of Malta
8D,Indonesia
8E,Indonesia
8F,Indonesia
8G,Indonesia
8H,Indonesia
8I,Indonesia
8J,Japan
8K,Japan
8L,Japan
8M,Japan
8N,Japan
8O,Botswana
8P,Barbados
8Q,Maldives
8R,Guyana
8S,Sweden
8T,India
8U,India
8V,India
8W,India
8X,India
8Y,India
8Z,Saudi Arabia
9M0,Spratly Islands
9M6,East Malaysia
9M8,East Malaysia
9W6,East Malaysia
9W8,East Malaysia
9A,Croatia
9B,Iran
9C,Iran
9D,Iran
9E,Ethiopia
9F,Ethiopia
9G,Ghana
9H,Malta
9I,Zambia
9J,Zambia
9K,Kuwait
9L,Sierra Leone
9M,West Malaysia
9N,Nepal
9O,Dem. Rep. of the Congo
9P,Dem. Rep. of the Congo
9Q,Dem. Rep. of the Congo
9R,Dem. Rep. of the Congo
9S,Dem. Rep. of the Congo
9T,Dem. Rep. of the Congo
9U,Burundi
9V,Singapore
9W,West Malaysia
9X,Rwanda
9Y,Trinidad & Tobago
9Z,Trinidad & Tobago
AH7K,Kure Island
AX9C,Cocos (Keeling) Islands
AX9L,Lord Howe Island
AX9M,Mellish Reef
AX9W,Willis Island
AX9X,Christmas Island
AX9Y,Cocos (Keeling) Islands
AX9Z,Willis Island
AY0V,Argentina
AY0W,Argentina
AY0X,Argentina
AY0Y,Argentina
AY1V,Argentina
AY1W,Argentina
AY1X,Argentina
AY1Y,Argentina
AY1Z,Antarctica
AY2V,Argentina
AY2W,Argentina
AY2X,Argentina
AY2Y,Argentina
AY2Z,Antarctica
AY3V,Argentina
AY3W,Argentina
AY3X,Argentina
AY3Y,Argentina
AY3Z,Antarctica
AY4V,Argentina
AY4W,Argentina
AY4X,Argentina
AY4Y,Argentina
AY4Z,Antarctica
AY5V,Argentina
AY5W,Argentina
AY5X,Argentina
AY5Y,Argentina
AY5Z,Antarctica
AY6V,Argentina
AY6W,Argentina
AY6X,Argentina
AY6Y,Argentina
AY6Z,Antarctica
AY7V,Argentina
AY7W,Argentina
AY7X,Argentina
AY7Y,Argentina
AY7Z,Antarctica
AY8V,Argentina
AY8W,Argentina
AY8X,Argentina
AY8Y,Argentina
AY8Z,Antarctica
AY9V,Argentina
AY9W,Argentina
AY9X,Argentina
AY9Y,Argentina
AY9Z,Antarctica
AZ0V,Argentina
AZ0W,Argentina
AZ0X,Argentina
AZ0Y,Argentina
AZ1V,Argentina
AZ1W,Argentina
AZ1X,Argentina
AZ1Y,Argentina
AZ2V,Argentina
AZ2W,Argentina
AZ2X,Argentina
AZ2Y,Argentina
AZ3V,Argentina
AZ3W,Argentina
AZ3X,Argentina
AZ3Y,Argentina
AZ4V,Argentina
AZ4W,Argentina
AZ4X,Argentina
AZ4Y,Argentina
AZ5V,Argentina
AZ5W,Argentina
AZ5X,Argentina
AZ5Y,Argentina
AZ6V,Argentina
AZ6W,Argentina
AZ6X,Argentina
AZ6Y,Argentina
AZ7V,Argentina
AZ7W,Argentina
AZ7X,Argentina
AZ7Y,Argentina
AZ8V,Argentina
AZ8W,Argentina
AZ8X,Argentina
AZ8Y,Argentina
AZ9V,Argentina
AZ9W,Argentina
AZ9X,Argentina
AZ9Y,Argentina
AH0,Mariana Islands
AH1,Baker & Howland Islands
AH2,Guam
AH3,Johnston Island
AH4,Midway Island
AH5,Palmyra & Jarvis Islands
AH6,Hawaii
AH7,Hawaii
AH8,American Samoa
AH9,Wake Island
AM6,Balearic Islands
AM8,Canary Islands
AM9,Ceuta & Melilla
AN6,Balearic Islands
AN8,Canary Islands
AN9,Ceuta & Melilla
AO6,Balearic Islands
AO8,Canary Islands
AO9,Ceuta & Melilla
AX0,Antarctica
AX4,Australia
AX9,Norfolk Island
A2,Botswana
A3,Tonga
A4,Oman
A5,Bhutan
A6,United Arab Emirates
A7,Qatar
A8,Liberia
A9,Bahrain
AA,United States
AB,United States
AC,United States
AD,United States
AE,United States
AF,United States
AG,United States
AI,United States
AJ,United States
AK,United States
AL,Alaska
AM,Spain
AN,Spain
AO,Spain
AP,Pakistan
AQ,Pakistan
AR,Pakistan
AS,Pakistan
AT,India
AU,India
AV,India
AW,India
AX,Australia
AY,Argentina
AZ,Argentina
BA2A,China
BA2B,China
BA2C,China
BA2D,China
BA2E,China
BA2F,China
BA2G,China
BA2H,China
BA2I,China
BA2J,China
BA2K,China
BA2L,China
BA2M,China
BA2N,China
BA2O,China
BA2P,China
BA3G,China
BA3H,China
BA3I,China
BA3J,China
BA3K,China
BA3L,China
BA6Q,China
BA6R,China
BA6S,China
BA6T,China
BA6U,China
BA6V,China
BA6W,China
BA6X,China
BA7A,China
BA7B,China
BA7C,China
BA7D,China
BA7E,China
BA7F,China
BA7G,China
BA7H,China
BA7Q,China
BA7R,China
BA7S,China
BA7T,China
BA7U,China
BA7V,China
BA7W,China
BA7X,China
BA8A,China
BA8B,China
BA8C,China
BA8D,China
BA8E,China
BA8F,China
BA8G,China
BA8H,China
BA8I,China
BA8J,China
BA8K,China
BA8L,China
BA8M,China
BA8N,China
BA8O,China
BA8P,China
BA8Q,China
BA8R,China
BA8S,China
BA8T,China
BA8U,China
BA8V,China
BA8W,China
BA8X,China
BA9A,China
BA9B,China
BA9C,China
BA9D,China
BA9E,China
BA9F,China
BA9S,China
BA9T,China
BA9U,China
BA9V,China
BA9W,China
BA9X,China
BD2A,China
BD2B,China
BD2C,China
BD2D,China
BD2E,China
BD2F,China
BD2G,China
BD2H,China
BD2I,China
BD2J,China
BD2K,China
BD2L,China
BD2M,China
BD2N,China
BD2O,China
BD2P,China
BD3G,China
BD3H,China
BD3I,China
BD3J,China
BD3K,China
BD3L,China
BD6Q,China
BD6R,China
BD6S,China
BD6T,China
BD6U,China
BD6V,China
BD6W,China
BD6X,China
BD7A,China
BD7B,China
BD7C,China
BD7D,China
BD7E,China
BD7F,China
BD7G,China
BD7H,China
BD7Q,China
BD7R,China
BD7S,China
BD7T,China
BD7U,China
BD7V,China
BD7W,China
BD7X,China
BD8A,China
BD8B,China
BD8C,China
BD8D,China
BD8E,China
BD8F,China
BD8G,China
BD8H,China
BD8I,China
BD8J,China
BD8K,China
BD8L,China
BD8M,China
BD8N,China
BD8O,China
BD8P,China
BD8Q,China
BD8R,China
BD8S,China
BD8T,China
BD8U,China
BD8V,China
BD8W,China
BD8X,China
BD9A,China
BD9B,China
BD9C,China
BD9D,China
BD9E,China
BD9F,China
BD9S,China
BD9T,China
BD9U,China
BD9V,China
BD9W,China
BD9X,China
BG2A,China
BG2B,China
BG2C,China
BG2D,China
BG2E,China
BG2F,China
BG2G,China
BG2H,China
BG2I,China
BG2J,China
BG2K,China
BG2L,China
BG2M,China
BG2N,China
BG2O,China
BG2P,China
BG3G,China
BG3H,China
BG3I,China
BG3J,China
BG3K,China
BG3L,China
BG6Q,China
BG6R,China
BG6S,China
BG6T,China
BG6U,China
BG6V,China
BG6W,China
BG6X,China
BG7A,China
BG7B,China
BG7C,China
BG7D,China
BG7E,China
BG7F,China
BG7G,China
BG7H,China
BG7Q,China
BG7R,China
BG7S,China
BG7T,China
BG7U,China
BG7V,China
BG7W,China
BG7X,China
BG8A,China
BG8B,China
BG8C,China
BG8D,China
BG8E,China
BG8F,China
BG8G,China
BG8H,China
BG8I,China
BG8J,China
BG8K,China
BG8L,China
BG8M,China
BG8N,China
BG8O,China
BG8P,China
BG8Q,China
BG8R,China
BG8S,China
BG8T,China
BG8U,China
BG8V,China
BG8W,China
BG8X,China
BG9A,China
BG9B,China
BG9C,China
BG9D,China
BG9E,China
BG9F,China
BG9S,China
BG9T,China
BG9U,China
BG9V,China
BG9W,China
BG9X,China
BH2A,China
BH2B,China
BH2C,China
BH2D,China
BH2E,China
BH2F,China
BH2G,China
BH2H,China
BH2I,China
BH2J,China
BH2K,China
BH2L,China
BH2M,China
BH2N,China
BH2O,China
BH2P,China
BH3G,China
BH3H,China
BH3I,China
BH3J,China
BH3K,China
BH3L,China
BH6Q,China
BH6R,China
BH6S,China
BH6T,China
BH6U,China
BH6V,China
BH6W,China
BH6X,China
BH7A,China
BH7B,China
BH7C,China
BH7D,China
BH7E,China
BH7F,China
BH7G,China
BH7H,China
BH7Q,China
BH7R,China
BH7S,China
BH7T,China
BH7U,China
BH7V,China
BH7W,China
BH7X,China
BH8A,China
BH8B,China
BH8C,China
BH8D,China
BH8E,China
BH8F,China
BH8G,China
BH8H,China
BH8I,China
BH8J,China
BH8K,China
BH8L,China
BH8M,China
BH8N,China
BH8O,China
BH8P,China
BH8Q,China
BH8R,China
BH8S,China
BH8T,China
BH8U,China
BH8V,China
BH8W,China
BH8X,China
BH9A,China
BH9B,China
BH9C,China
BH9D,China
BH9E,China
BH9F,China
BH9S,China
BH9T,China
BH9U,China
BH9V,China
BH9W,China
BH9X,China
BI2A,China
BI2B,China
BI2C,China
BI2D,China
BI2E,China
BI2F,China
BI2G,China
BI2H,China
BI2I,China
BI2J,China
BI2K,China
BI2L,China
BI2M,China
BI2N,China
BI2O,China
BI2P,China
BI3G,China
BI3H,China
BI3I,China
BI3J,China
BI3K,China
BI3L,China
BI6Q,China
BI6R,China
BI6S,China
BI6T,China
BI6U,China
BI6V,China
BI6W,China
BI6X,China
BI7A,China
BI7B,China
BI7C,China
BI7D,China
BI7E,China
BI7F,China
BI7G,China
BI7H,China
BI7Q,China
BI7R,China
BI7S,China
BI7T,China
BI7U,China
BI7V,China
BI7W,China
BI7X,China
BI8A,China
BI8B,China
BI8C,China
BI8D,China
BI8E,China
BI8F,China
BI8G,China
BI8H,China
BI8I,China
BI8J,China
BI8K,China
BI8L,China
BI8M,China
BI8N,China
BI8O,China
BI8P,China
BI8Q,China
BI8R,China
BI8S,China
BI8T,China
BI8U,China
BI8V,China
BI8W,China
BI8X,China
BI9A,China
BI9B,China
BI9C,China
BI9D,China
BI9E,China
BI9F,China
BI9S,China
BI9T,China
BI9U,China
BI9V,China
BI9W,China
BI9X,China
BJ2A,China
BJ2B,China
BJ2C,China
BJ2D,China
BJ2E,China
BJ2F,China
BJ2G,China
BJ2H,China
BJ2I,China
BJ2J,China
BJ2K,China
BJ2L,China
BJ2M,China
BJ2N,China
BJ2O,China
BJ2P,China
BJ3G,China
BJ3H,China
BJ3I,China
BJ3J,China
BJ3K,China
BJ3L,China
BJ6Q,China
BJ6R,China
BJ6S,China
BJ6T,China
BJ6U,China
BJ6V,China
BJ6W,China
BJ6X,China
BJ7A,China
BJ7B,China
BJ7C,China
BJ7D,China
BJ7E,China
BJ7F,China
BJ7G,China
BJ7H,China
BJ7Q,China
BJ7R,China
BJ7S,China
BJ7T,China
BJ7U,China
BJ7V,China
BJ7W,China
BJ7X,China
BJ8A,China
BJ8B,China
BJ8C,China
BJ8D,China
BJ8E,China
BJ8F,China
BJ8G,China
BJ8H,China
BJ8I,China
BJ8J,China
BJ8K,China
BJ8L,China
BJ8M,China
BJ8N,China
BJ8O,China
BJ8P,China
BJ8Q,China
BJ8R,China
BJ8S,China
BJ8T,China
BJ8U,China
BJ8V,China
BJ8W,China
BJ8X,China
BJ9A,China
BJ9B,China
BJ9C,China
BJ9D,China
BJ9E,China
BJ9F,China
BJ9S,China
BJ9T,China
BJ9U,China
BJ9V,China
BJ9W,China
BJ9X,China
BL2A,China
BL2B,China
BL2C,China
BL2D,China
BL2E,China
BL2F,China
BL2G,China
BL2H,China
BL2I,China
BL2J,China
BL2K,China
BL2L,China
BL2M,China
BL2N,China
BL2O,China
BL2P,China
BL3G,China
BL3H,China
BL3I,China
BL3J,China
BL3K,China
BL3L,China
BL6Q,China
BL6R,China
BL6S,China
BL6T,China
BL6U,China
BL6V,China
BL6W,China
BL6X,China
BL7A,China
BL7B,China
BL7C,China
BL7D,China
BL7E,China
BL7F,China
BL7G,China
BL7H,China
BL7Q,China
BL7R,China
BL7S,China
BL7T,China
BL7U,China
BL7V,China
BL7W,China
BL7X,China
BL8A,China
BL8B,China
BL8C,China
BL8D,China
BL8E,China
BL8F,China
BL8G,China
BL8H,China
BL8I,China
BL8J,China
BL8K,China
BL8L,China
BL8M,China
BL8N,China
BL8O,China
BL8P,China
BL8Q,China
BL8R,China
BL8S,China
BL8T,China
BL8U,China
BL8V,China
BL8W,China
BL8X,China
BL9A,China
BL9B,China
BL9C,China
BL9D,China
BL9E,China
BL9F,China
BL9S,China
BL9T,China
BL9U,China
BL9V,China
BL9W,China
BL9X,China
BM9P,Pratas Island
BM9S,Spratly Islands
BN9P,Pratas Island
BN9S,Spratly Islands
BO9P,Pratas Island
BO9S,Spratly Islands
BP9P,Pratas Island
BP9S,Spratly Islands
BQ9P,Pratas Island
BQ9S,Spratly Islands
BT2A,China
BT2B,China
BT2C,China
BT2D,China
BT2E,China
BT2F,China
BT2G,China
BT2H,China
BT2I,China
BT2J,China
BT2K,China
BT2L,China
BT2M,China
BT2N,China
BT2O,China
BT2P,China
BT3G,China
BT3H,China
BT3I,China
BT3J,China
BT3K,China
BT3L,China
BT6Q,China
BT6R,China
BT6S,China
BT6T,China
BT6U,China
BT6V,China
BT6W,China
BT6X,China
BT7A,China
BT7B,China
BT7C,China
BT7D,China
BT7E,China
BT7F,China
BT7G,China
BT7H,China
BT7Q,China
BT7R,China
BT7S,China
BT7T,China
BT7U,China
BT7V,China
BT7W,China
BT7X,China
BT8A,China
BT8B,China
BT8C,China
BT8D,China
BT8E,China
BT8F,China
BT8G,China
BT8H,China
BT8I,China
BT8J,China
BT8K,China
BT8L,China
BT8M,China
BT8N,China
BT8O,China
BT8P,China
BT8Q,China
BT8R,China
BT8S,China
BT8T,China
BT8U,China
BT8V,China
BT8W,China
BT8X,China
BT9A,China
BT9B,China
BT9C,China
BT9D,China
BT9E,China
BT9F,China
BT9S,China
BT9T,China
BT9U,China
BT9V,China
BT9W,China
BT9X,China
BU9P,Pratas Island
BU9S,Spratly Islands
BV9P,Pratas Island
BV9S,Spratly Islands
BW9P,Pratas Island
BW9S,Spratly Islands
BX9P,Pratas Island
BX9S,Spratly Islands
BY2A,China
BY2B,China
BY2C,China
BY2D,China
BY2E,China
BY2F,China
BY2G,China
BY2H,China
BY2I,China
BY2J,China
BY2K,China
BY2L,China
BY2M,China
BY2N,China
BY2O,China
BY2P,China
BY3G,China
BY3H,China
BY3I,China
BY3J,China
BY3K,China
BY3L,China
BY6Q,China
BY6R,China
BY6S,China
BY6T,China
BY6U,China
BY6V,China
BY6W,China
BY6X,China
BY7A,China
BY7B,China
BY7C,China
BY7D,China
BY7E,China
BY7F,China
BY7G,China
BY7H,China
BY7Q,China
BY7R,China
BY7S,China
BY7T,China
BY7U,China
BY7V,China
BY7W,China
BY7X,China
BY8A,China
BY8B,China
BY8C,China
BY8D,China
BY8E,China
BY8F,China
BY8G,China
BY8H,China
BY8I,China
BY8J,China
BY8K,China
BY8L,China
BY8M,China
BY8N,China
BY8O,China
BY8P,China
BY8Q,China
BY8R,China
BY8S,China
BY8T,China
BY8U,China
BY8V,China
BY8W,China
BY8X,China
BY9A,China
BY9B,China
BY9C,China
BY9D,China
BY9E,China
BY9F,China
BY9S,China
BY9T,China
BY9U,China
BY9V,China
BY9W,China
BY9X,China
BZ2A,China
BZ2B,China
BZ2C,China
BZ2D,China
BZ2E,China
BZ2F,China
BZ2G,China
BZ2H,China
BZ2I,China
BZ2J,China
BZ2K,China
BZ2L,China
BZ2M,China
BZ2N,China
BZ2O,China
BZ2P,China
BZ3G,China
BZ3H,China
BZ3I,China
BZ3J,China
BZ3K,China
BZ3L,China
BZ6Q,China
BZ6R,China
BZ6S,China
BZ6T,China
BZ6U,China
BZ6V,China
BZ6W,China
BZ6X,China
BZ7A,China
BZ7B,China
BZ7C,China
BZ7D,China
BZ7E,China
BZ7F,China
BZ7G,China
BZ7H,China
BZ7Q,China
BZ7R,China
BZ7S,China
BZ7T,China
BZ7U,China
BZ7V,China
BZ7W,China
BZ7X,China
BZ8A,China
BZ8B,China
BZ8C,China
BZ8D,China
BZ8E,China
BZ8F,China
BZ8G,China
BZ8H,China
BZ8I,China
BZ8J,China
BZ8K,China
BZ8L,China
BZ8M,China
BZ8N,China
BZ8O,China
BZ8P,China
BZ8Q,China
BZ8R,China
BZ8S,China
BZ8T,China
BZ8U,China
BZ8V,China
BZ8W,China
BZ8X,China
BZ9A,China
BZ9B,China
BZ9C,China
BZ9D,China
BZ9E,China
BZ9F,China
BZ9S,China
BZ9T,China
BZ9U,China
BZ9V,China
BZ9W,China
BZ9X,China
B2A,China
B2B,China
B2C,China
B2D,China
B2E,China
B2F,China
B2G,China
B2H,China
B2I,China
B2J,China
B2K,China
B2L,China
B2M,China
B2N,China
B2O,China
B2P,China
B3G,China
B3H,China
B3I,China
B3J,China
B3K,China
B3L,China
B6Q,China
B6R,China
B6S,China
B6T,China
B6U,China
B6V,China
B6W,China
B6X,China
B7A,China
B7B,China
B7C,China
B7D,China
B7E,China
B7F,China
B7G,China
B7H,China
B7Q,China
B7R,China
B7S,China
B7T,China
B7U,China
B7V,China
B7W,China
B7X,China
B8A,China
B8B,China
B8C,China
B8D,China
B8E,China
B8F,China
B8G,China
B8H,China
B8I,China
B8J,China
B8K,China
B8L,China
B8M,China
B8N,China
B8O,China
B8P,China
B8Q,China
B8R,China
B8S,China
B8T,China
B8U,China
B8V,China
B8W,China
B8X,China
B9A,China
B9B,China
B9C,China
B9D,China
B9E,China
B9F,China
B9S,China
B9T,China
B9U,China
B9V,China
B9W,China
B9X,China
BA0,China
BA9,China
BD0,China
BD9,China
BG0,China
BG9,China
BH0,China
BH9,China
BI0,China
BI9,China
BJ0,China
BJ9,China
BL0,China
BL9,China
BT0,China
BT9,China
BY0,China
BY9,China
BZ0,China
BZ9,China
B0,China
B1,China
B2,China
B3,China
B4,China
B5,China
B6,China
B7,China
B8,China
B9,China
BA,China
BD,China
BG,China
BH,China
BI,China
BJ,China
BL,China
BM,Taiwan
BN,Taiwan
BO,Taiwan
BP,Taiwan
BQ,Taiwan
BT,China
BU,Taiwan
BV,Taiwan
BW,Taiwan
BX,Taiwan
BY,China
BZ,China
CA0X,San Felix & San Ambrosio
CA0Z,Juan Fernandez Islands
CB0X,San Felix & San Ambrosio
CB0Z,Juan Fernandez Islands
CC0X,San Felix & San Ambrosio
CC0Z,Juan Fernandez Islands
CD0X,San Felix & San Ambrosio
CD0Z,Juan Fernandez Islands
CE0I,Juan Fernandez Islands
CE0X,San Felix & San Ambrosio
CE0Z,Juan Fernandez Islands
CA0,Easter Island
CA7,Chile
CA8,Chile
CB0,Easter Island
CB7,Chile
CB8,Chile
CC0,Easter Island
CC7,Chile
CC8,Chile
CD0,Easter Island
CD7,Chile
CD8,Chile
CE0,Easter Island
CE7,Chile
CE8,Chile
CE9,South Shetland Islands
CF2,Canada
CG2,Canada
CH1,Canada
CH2,Canada
CI0,Canada
CI1,Canada
CI2,Canada
CJ2,Canada
CK2,Canada
CP2,Bolivia
CP3,Bolivia
CP4,Bolivia
CP5,Bolivia
CP6,Bolivia
CP7,Bolivia
CQ1,Azores
CQ2,Madeira Islands
CQ3,Madeira Islands
CQ8,Azores
CQ9,Madeira Islands
CR1,Azores
CR2,Azores
CR3,Madeira Islands
CR8,Azores
CR9,Madeira Islands
CS3,Madeira Islands
CS4,Azores
CS8,Azores
CS9,Madeira Islands
CT3,Madeira Islands
CT8,Azores
CT9,Madeira Islands
CY0,Sable Island
CY1,Canada
CY2,Canada
CY9,St. Paul Island
CZ0,Canada
CZ1,Canada
CZ2,Canada
C2,Nauru
C3,Andorra
C4,Cyprus
C5,The Gambia
C6,Bahamas
C8,Mozambique
C9,Mozambique
CA,Chile
CB,Chile
CC,Chile
CD,Chile
CE,Chile
CF,Canada
CG,Canada
CJ,Canada
CK,Canada
CL,Cuba
CM,Cuba
CN,Morocco
CO,Cuba
CP,Bolivia
CQ,Portugal
CR,Portugal
CS,Portugal
CT,Portugal
CU,Azores
CV,Uruguay
CW,Uruguay
CX,Uruguay
D2,Angola
D3,Angola
D4,Cape Verde
D5,Liberia
D6,Comoros
D7,Republic of Korea
D8,Republic of Korea
D9,Republic of Korea
DA,Fed. Rep. of Germany
DB,Fed. Rep. of Germany
DC,Fed. Rep. of Germany
DD,Fed. Rep. of Germany
DE,Fed. Rep. of Germany
DF,Fed. Rep. of Germany
DG,Fed. Rep. of Germany
DH,Fed. Rep. of Germany
DI,Fed. Rep. of Germany
DJ,Fed. Rep. of Germany
DK,Fed. Rep. of Germany
DL,Fed. Rep. of Germany
DM,Fed. Rep. of Germany
DN,Fed. Rep. of Germany
DO,Fed. Rep. of Germany
DP,Fed. Rep. of Germany
DQ,Fed. Rep. of Germany
DR,Fed. Rep. of Germany
DS,Republic of Korea
DT,Republic of Korea
DU,Philippines
DV,Philippines
DW,Philippines
DX,Philippines
DY,Philippines
DZ,Philippines
EX0P,Kyrgyzstan
EX0Q,Kyrgyzstan
EX2P,Kyrgyzstan
EX2Q,Kyrgyzstan
EX6P,Kyrgyzstan
EX6Q,Kyrgyzstan
EX7P,Kyrgyzstan
EX7Q,Kyrgyzstan
EX8P,Kyrgyzstan
EX8Q,Kyrgyzstan
EA6,Balearic Islands
EA8,Canary Islands
EA9,Ceuta & Melilla
EB6,Balearic Islands
EB8,Canary Islands
EB9,Ceuta & Melilla
EC6,Balearic Islands
EC8,Canary Islands
EC9,Ceuta & Melilla
ED6,Balearic Islands
ED8,Canary Islands
ED9,Ceuta & Melilla
EE6,Balearic Islands
EE8,Canary Islands
EE9,Ceuta & Melilla
EF6,Balearic Islands
EF8,Canary Islands
EF9,Ceuta & Melilla
EG6,Balearic Islands
EG8,Canary Islands
EG9,Ceuta & Melilla
EH6,Balearic Islands
EH8,Canary Islands
EH9,Ceuta & Melilla
E2,Thailand
E3,Eritrea
E4,Palestine
E5,South Cook Islands
E6,Niue
E7,Bosnia-Herzegovina
EA,Spain
EB,Spain
EC,Spain
ED,Spain
EE,Spain
EF,Spain
EG,Spain
EH,Spain
EI,Ireland
EJ,Ireland
EK,Armenia
EL,Liberia
EM,Ukraine
EN,Ukraine
EO,Ukraine
EP,Iran
EQ,Iran
ER,Moldova
ES,Estonia
ET,Ethiopia
EU,Belarus
EV,Belarus
EW,Belarus
EX,Kyrgyzstan
EY,Tajikistan
EZ,Turkmenistan
FT0E,Juan de Nova, Europa
FT0G,Glorioso Islands
FT0J,Juan de Nova, Europa
FT0T,Tromelin Island
FT0W,Crozet Island
FT0X,Kerguelen Islands
FT0Y,Antarctica
FT0Z,Amsterdam & St. Paul Is.
FT1E,Juan de Nova, Europa
FT1G,Glorioso Islands
FT1J,Juan de Nova, Europa
FT1T,Tromelin Island
FT1Y,Antarctica
FT1Z,Amsterdam & St. Paul Is.
FT2E,Juan de Nova, Europa
FT2G,Glorioso Islands
FT2J,Juan de Nova, Europa
FT2T,Tromelin Island
FT2X,Kerguelen Islands
FT2Y,Antarctica
FT2Z,Amsterdam & St. Paul Is.
FT3E,Juan de Nova, Europa
FT3G,Glorioso Islands
FT3J,Juan de Nova, Europa
FT3T,Tromelin Island
FT3Y,Antarctica
FT3Z,Amsterdam & St. Paul Is.
FT4E,Juan de Nova, Europa
FT4G,Glorioso Islands
FT4J,Juan de Nova, Europa
FT4T,Tromelin Island
FT4W,Crozet Island
FT4X,Kerguelen Islands
FT4Y,Antarctica
FT4Z,Amsterdam & St. Paul Is.
FT5G,Glorioso Islands
FT5T,Tromelin Island
FT5W,Crozet Island
FT5X,Kerguelen Islands
FT5Y,Antarctica
FT5Z,Amsterdam & St. Paul Is.
FT6E,Juan de Nova, Europa
FT6G,Glorioso Islands
FT6J,Juan de Nova, Europa
FT6T,Tromelin Island
FT6Y,Antarctica
FT6Z,Amsterdam & St. Paul Is.
FT7E,Juan de Nova, Europa
FT7G,Glorioso Islands
FT7J,Juan de Nova, Europa
FT7T,Tromelin Island
FT7Y,Antarctica
FT7Z,Amsterdam & St. Paul Is.
FT8E,Juan de Nova, Europa
FT8G,Glorioso Islands
FT8J,Juan de Nova, Europa
FT8T,Tromelin Island
FT8W,Crozet Island
FT8X,Kerguelen Islands
FT8Y,Antarctica
FT8Z,Amsterdam & St. Paul Is.
FT9E,Juan de Nova, Europa
FT9G,Glorioso Islands
FT9J,Juan de Nova, Europa
FT9T,Tromelin Island
FG,Guadeloupe
FH,Mayotte
FJ,St. Barthelemy
FK,New Caledonia
FM,Martinique
FO,French Polynesia
FP,St. Pierre & Miquelon
FR,Reunion Island
FS,St. Martin
FW,Wallis & Futuna Islands
FY,French Guiana
F,France
GA,Scotland
GC,Wales
GD,Isle of Man
GH,Jersey
GI,Northern Ireland
GJ,Jersey
GM,Scotland
